order_id,order_date,category,region,customer_segment,quantity,unit_price,revenue
ORD-100830,2025-01-01,Books,East,Corporate,4,36.35,145.4
ORD-100352,2025-01-02,Home & Kitchen,East,Consumer,1,170.76,170.76
ORD-102396,2025-01-02,Clothing,North,Consumer,5,55.13,275.65
ORD-100229,2025-01-02,Home & Kitchen,West,Consumer,3,74.78,224.34
ORD-101731,2025-01-02,Home & Kitchen,West,Consumer,2,84.19,168.38
ORD-101229,2025-01-02,Clothing,North,Consumer,2,20.41,40.82
ORD-100075,2025-01-02,Home & Kitchen,South,Corporate,3,116.11,348.33
ORD-100013,2025-01-02,Sports,West,Consumer,5,56.96,284.8
ORD-101361,2025-01-03,Electronics,West,Consumer,3,236.82,710.46
ORD-101847,2025-01-03,Books,South,Consumer,2,24.76,49.52
ORD-102193,2025-01-03,Home & Kitchen,South,Home Office,1,31.95,31.95
ORD-100140,2025-01-03,Home & Kitchen,East,Consumer,1,92.49,92.49
ORD-101755,2025-01-04,Books,East,Home Office,2,12.31,24.62
ORD-101116,2025-01-05,Clothing,North,Consumer,1,54.15,54.15
ORD-101386,2025-01-05,Sports,West,Consumer,4,149.16,596.64
ORD-102025,2025-01-05,Sports,South,Corporate,1,86.82,86.82
ORD-101495,2025-01-05,Books,North,Consumer,3,25.93,77.79
ORD-101360,2025-01-05,Clothing,South,Consumer,1,15.23,15.23
ORD-100884,2025-01-05,Electronics,West,Home Office,1,152.85,152.85
ORD-100065,2025-01-05,Electronics,South,Consumer,3,372.73,1118.19
ORD-102070,2025-01-05,Home & Kitchen,South,Corporate,2,173.29,346.58
ORD-102271,2025-01-05,Sports,East,Home Office,2,94.83,189.66
ORD-100142,2025-01-06,Home & Kitchen,East,Consumer,4,33.38,133.52
ORD-100418,2025-01-06,Home & Kitchen,South,Consumer,3,158.12,474.36
ORD-100849,2025-01-06,Electronics,North,Corporate,4,393.85,1575.4
ORD-101218,2025-01-06,Sports,North,Consumer,1,173.59,173.59
ORD-101907,2025-01-06,Home & Kitchen,North,Consumer,3,136.03,408.09
ORD-100241,2025-01-06,Home & Kitchen,North,Home Office,4,126.81,507.24
ORD-102079,2025-01-06,Home & Kitchen,South,Consumer,3,127.22,381.66
ORD-101813,2025-01-06,Clothing,East,Corporate,3,77.08,231.24
ORD-101123,2025-01-06,Electronics,South,Consumer,3,235.07,705.21
ORD-101929,2025-01-07,Electronics,East,Consumer,5,209.99,1049.95
ORD-101193,2025-01-07,Home & Kitchen,North,Consumer,2,75.49,150.98
ORD-100544,2025-01-08,Home & Kitchen,East,Home Office,4,62.92,251.68
ORD-100393,2025-01-08,Electronics,North,Consumer,5,393.33,1966.65
ORD-100375,2025-01-08,Electronics,North,Consumer,4,395.11,1580.44
ORD-100626,2025-01-08,Books,West,Corporate,4,34.92,139.68
ORD-102224,2025-01-08,Electronics,West,Consumer,5,412.2,2061.0
ORD-101128,2025-01-09,Books,South,Consumer,1,19.18,19.18
ORD-101115,2025-01-10,Clothing,West,Consumer,4,54.44,217.76
ORD-101152,2025-01-10,Electronics,East,Consumer,2,555.72,1111.44
ORD-100471,2025-01-10,Home & Kitchen,East,Consumer,2,169.47,338.94
ORD-101798,2025-01-10,Home & Kitchen,West,Corporate,3,118.3,354.9
ORD-100193,2025-01-10,Clothing,West,Home Office,2,58.14,116.28
